0	0	0	0	0	0	4	4	4	0	0	0	0	4	4	4	4	4	4	5	5	2	5	0
0	0	4	4	4	5	5	5	0	4	4	0	4	5	5	5	5	5	4	5	5	5	5	0
4	4	5	5	5	5	0	5	5	5	5	4	5	5	4	5	4	5	4	5	4	4	5	0
5	5	5	0	0	0	0	0	0	0	5	5	5	4	4	5	4	4	4	5	4	5	4	0
5	4	4	4	4	4	0	4	4	4	4	4	5	0	4	5	5	5	5	5	4	5	4	0
5	4	5	5	5	5	5	5	5	5	5	4	5	4	4	4	4	0	0	0	4	5	0	0
5	4	5	4	4	4	5	4	4	4	5	4	5	0	5	5	5	4	0	4	4	5	4	0
5	4	5	4	5	5	5	4	5	4	5	4	5	4	0	4	5	4	0	4	5	5	4	0
5	4	5	4	5	5	5	4	4	4	5	4	5	5	5	5	5	4	5	5	5	4	0	0
5	4	5	4	4	4	5	4	5	4	5	4	4	4	4	0	5	4	4	4	5	0	0	0
5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	0	0
5	4	4	4	4	4	4	5	4	4	5	4	4	4	5	4	4	4	4	4	5	4	0	0
5	4	5	0	5	5	4	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	4	0
5	4	5	4	5	4	4	5	4	4	5	4	4	5	4	4	4	5	4	4	4	5	4	0
5	4	5	4	5	5	5	5	4	5	5	5	5	5	5	5	4	5	4	5	4	5	4	0
5	5	5	0	4	4	4	5	5	5	0	4	0	5	4	4	4	5	4	5	4	5	4	0
0	4	5	5	5	5	4	4	4	5	5	5	5	5	4	5	5	5	4	5	4	5	4	0
0	4	5	4	0	5	5	5	5	5	0	4	4	5	4	4	4	5	4	4	4	5	4	0
0	4	5	4	4	0	4	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	0	0
3	4	5	5	5	5	4	4	4	5	4	5	4	4	0	5	0	4	4	4	4	4	4	0
0	0	4	0	4	5	5	4	5	5	4	5	4	5	4	5	4	5	5	5	5	5	4	4
0	0	0	0	0	4	5	5	5	4	5	5	4	5	4	5	0	4	4	4	4	5	4	0
0	0	0	0	0	0	0	0	4	4	5	5	4	5	5	5	5	5	5	5	5	3	4	0
3	0	0	3	0	0	0	0	0	0	5	1	5	4	4	4	4	4	4	4	4	4	0	3
